#freq(Hz) lambda(m)  spectrum 
1.9878e-23 1.0000e-02 9.9986e+09 
2.2087e-23 9.0000e-03 1.6932e+10 
2.4541e-23 8.1000e-03 2.8675e+10 
2.7267e-23 7.2900e-03 4.8560e+10 
3.0297e-23 6.5610e-03 8.2235e+10 
3.3664e-23 5.9049e-03 1.3926e+11 
3.7404e-23 5.3144e-03 2.3583e+11 
4.1560e-23 4.7830e-03 3.9938e+11 
4.6178e-23 4.3047e-03 6.7632e+11 
5.1309e-23 3.8742e-03 1.1453e+12 
5.7010e-23 3.4868e-03 1.9395e+12 
6.3344e-23 3.1381e-03 3.2844e+12 
7.0382e-23 2.8243e-03 5.5620e+12 
7.8202e-23 2.5419e-03 9.4187e+12 
8.6892e-23 2.2877e-03 1.5950e+13 
9.6546e-23 2.0589e-03 2.7009e+13 
1.0727e-22 1.8530e-03 4.5736e+13 
1.1919e-22 1.6677e-03 7.7448e+13 
1.3244e-22 1.5009e-03 1.3115e+14 
1.4715e-22 1.3509e-03 2.2207e+14 
1.6350e-22 1.2158e-03 3.7604e+14 
1.8167e-22 1.0942e-03 6.3674e+14 
2.0185e-22 9.8477e-04 1.0782e+15 
2.2428e-22 8.8629e-04 1.8256e+15 
2.4920e-22 7.9766e-04 3.0911e+15 
2.7689e-22 7.1790e-04 5.2338e+15 
3.0766e-22 6.4611e-04 8.8615e+15 
3.4184e-22 5.8150e-04 1.5003e+16 
3.7982e-22 5.2335e-04 2.5401e+16 
4.2203e-22 4.7101e-04 4.3004e+16 
4.6892e-22 4.2391e-04 7.2803e+16 
5.2102e-22 3.8152e-04 1.2325e+17 
5.7891e-22 3.4337e-04 2.0863e+17 
6.4324e-22 3.0903e-04 3.5315e+17 
7.1471e-22 2.7813e-04 5.9776e+17 
7.9412e-22 2.5032e-04 1.0117e+18 
8.8235e-22 2.2528e-04 1.7123e+18 
9.8039e-22 2.0276e-04 2.8977e+18 
1.0893e-21 1.8248e-04 4.9034e+18 
1.2104e-21 1.6423e-04 8.2966e+18 
1.3448e-21 1.4781e-04 1.4037e+19 
1.4943e-21 1.3303e-04 2.3746e+19 
1.6603e-21 1.1973e-04 4.0165e+19 
1.8448e-21 1.0775e-04 6.7929e+19 
2.0498e-21 9.6977e-05 1.1487e+20 
2.2775e-21 8.7280e-05 1.9421e+20 
2.5306e-21 7.8552e-05 3.2829e+20 
2.8117e-21 7.0697e-05 5.5483e+20 
3.1242e-21 6.3627e-05 9.3749e+20 
3.4713e-21 5.7264e-05 1.5837e+21 
3.8570e-21 5.1538e-05 2.6745e+21 
4.2855e-21 4.6384e-05 4.5152e+21 
4.7617e-21 4.1746e-05 7.6201e+21 
5.2908e-21 3.7571e-05 1.2855e+22 
5.8786e-21 3.3814e-05 2.1678e+22 
6.5318e-21 3.0433e-05 3.6539e+22 
7.2576e-21 2.7389e-05 6.1554e+22 
8.0640e-21 2.4650e-05 1.0364e+23 
8.9600e-21 2.2185e-05 1.7437e+23 
9.9555e-21 1.9967e-05 2.9318e+23 
1.1062e-20 1.7970e-05 4.9253e+23 
1.2291e-20 1.6173e-05 8.2671e+23 
1.3656e-20 1.4556e-05 1.3863e+24 
1.5174e-20 1.3100e-05 2.3220e+24 
1.6860e-20 1.1790e-05 3.8845e+24 
1.8733e-20 1.0611e-05 6.4898e+24 
2.0815e-20 9.5500e-06 1.0826e+25 
2.3127e-20 8.5950e-06 1.8029e+25 
2.5697e-20 7.7355e-06 2.9969e+25 
2.8552e-20 6.9620e-06 4.9714e+25 
3.1725e-20 6.2658e-06 8.2278e+25 
3.5250e-20 5.6392e-06 1.3582e+26 
3.9166e-20 5.0753e-06 2.2358e+26 
4.3518e-20 4.5678e-06 3.6689e+26 
4.8353e-20 4.1110e-06 5.9993e+26 
