JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2402239.2440	4.25			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402239.2940	4.25			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402240.2440	3.65			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402243.3640	4.05			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402244.2640	4.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402257.2640	3.63			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402260.3340	4.25			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402265.2740	4.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402266.3040	4.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402278.2940	3.55			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402280.2840	4.03			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402283.3140	3.70			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402285.2640	4.03			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402289.5640	4.46			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402299.5440	3.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402305.3340	3.40			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402305.5540	3.45			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402315.3340	3.66			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402315.5040	3.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402316.3140	3.60			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402316.5340	3.45			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402317.5140	3.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402318.2940	4.10			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402318.5140	3.95			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402319.2940	4.25			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402319.3640	4.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402319.5040	4.20			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402320.3540	3.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402321.3040	3.50			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402323.4640	3.90			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402323.5140	3.85			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402324.3540	4.07			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402324.5040	4.07			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402330.3440	4.15			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402330.5340	4.12			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
2402331.4740	3.65			Vis.	SNX		NA		NA	"DATA: WWW.CRAO.CRIMEA.UA/~ASS/DBCE.HTML . MODERN NON-AAVSO PHOTOM. RED. BY VALENTINER, 1900."			Z				DEL CEP	AAVSO	STD		2009BCrAO.105...78B	PKV	
